Nom;Keywords;Budget;Feel;Style;Type de vidéo
A30 – Planifie tes déplacements;Voiture · Animation 2D et 3D;1000 – 3000$;Informatif;Motion Design;Publicité
A30 – Transpondeur;Voiture · Épicerie · Acteur;5000 – 10 000$;Humour;Slider · Trépied;Publicité
ACHAIA – Ouverture;—;1000 – 3000$;Dynamique · Passion;Entrevue · B-roll · Épaule · Stabilisateur;Événement
Alliance – Maintenance industrielle;Construction · Bureau · Technologie · Entrepôt · Employés;3000 – 5000$;Dynamique · Passion;Entrevue · B-roll · Épaule · Stabilisateur · Drone;Corpo
Animation concept – Le nom est dit;Acteur;3000 – 5000$;Humour;Trépied;Publicité
Apprendre en cœur – Présentation;Communautaire · Enfant · Jouets;1000 – 3000$;Enjoué;B-roll · Stabilisateur · Drone · Vidéo portrait;Corpo
Au Vieux – Fermeture;Bar · Bière et vin · Musique · Restaurant;1000 – 3000$;Informatif · Passion;Entrevue · B-roll · Épaule · Stabilisateur;Capsule
Au Vieux Brasserie Festive – Pub;Bar · Nourriture · Bière et vin;3000 – 5000$;Dynamique · Énergétique · Festif;B-roll · Épaule · POV;Publicité
Beachclub – David Guetta;Bar · Bière et vin · Musique · Événement · Festival · Danse;3000 – 5000$;Dynamique · Énergétique · Festif · Grandiose · Épique;B-roll · Épaule · Drone · Ralenti · Verticale;Événement
Ville de Beauharnois - Beauharnois se raconte;Communautaire · Art · Événement;1000 – 3000$;Dynamique · Passion · Festif;B-roll · Épaule;Événement
Beauvirage – Portes et fenêtres;Construction · Commerce;1000 – 3000$;Dynamique;Stock Footage · Ralenti · B-roll · Épaule;Publicité
Braque – Alchimiste;Bar · Bière et vin;1000 – 3000$;Informatif · Passion;Entrevue · B-roll · Épaule;Corpo
Braque – Allo Simone;Nourriture · Bureau;1000 – 3000$;Informatif · Passion;Entrevue · B-roll · Épaule;Corpo
Braque – Sweet Sixteen;Acteur · Nourriture · Animation 2D et 3D · Produit · Danse;20 000 – 50 000$;Énergétique · Dynamique;Trépied · Ralenti · Motion Design · Animation 3D · Green Screen;Publicité
Brio – Boutique de management;Bureau;1000 – 3000$;Informatif;Entrevue · B-roll · Épaule · Stock Footage;Corpo
